Policy Number,Policy Status,Age,Gender,Home Language,Family Status,Gross Household Income,Gross Income,Monthly Premium Original,Monthly Premium,Dfference between Household and Personal Income,Salary Day,Debit order day,Education,Occupation,Province,Postal Code,Policy Affordability %,Policy Affordability % Band,Response Outcome,Take Up Outcome,Contract Status,Collection Count
5178,Installed,38,Male,Zulu,Married,50000,22000,204,216,28000,25,27,Certificate,Training Advisor,Gauteng,81,0.004,0 - 1.5%,1,1,1,13
5179,Cancelled,45,Male,Sotho,Single,7000,7000,0,0,0,30,1,Diploma,bricklayer,Gauteng,0,0.033,2.5 - 5%,1,0,0,0
5180,Cancelled,34,Male,IsisNdebele,Married,4500,4500,0,0,0,15,16,Matric,Managing Director,Gauteng,0,0.089,5% +,1,0,0,0
5181,Installed,43,Male,Sotho,Married,15000,15000,236,172,0,31,31,Diploma,Sales Manager,Free State,0,0.012,0 - 1.5%,1,1,1,8
5182,Cancelled,50,Male,Sepedi,Married,42000,27000,0,0,15000,22,22,Postgraduate,Teacher,Limpopo,0,0.008,0 - 1.5%,1,0,0,0
5183,Cancelled,41,Female,English,Single,8667,8667,0,0,0,25,1,No Matric,Waitress,Gauteng,0,0.024,1.5 - 2.5%,1,0,0,0
5184,Cancelled,43,Female,Setswana,Married,10500,7000,0,0,3500,26,28,Certificate,Teacher,North West,0,0.03,2.5 - 5%,1,1,0,4
5185,Cancelled,53,Female,Sotho,Single,8100,7500,0,0,600,31,1,No Matric,Office Cleaner,Gauteng,0,0.015,1.5 - 2.5%,1,1,0,4
5186,Cancelled,53,Male,Sotho,Single,1200,1200,0,0,0,31,31,No Matric,Farm Worker,Free State,0,0.165,5% +,1,0,0,0
5187,Installed,44,Male,English,Single,45000,45000,277,294,0,26,26,Matric,"IT Technician
IT Support",Gauteng,2055,0.006,0 - 1.5%,1,1,1,13
5188,Installed,56,Male,English,Married,55000,35000,615,652,20000,25,30,Certificate,Underwriter,Gauteng,1829,0.011,0 - 1.5%,1,1,1,13
5189,Cancelled,35,Male,Setswana,Single,3200,3200,0,0,0,31,31,Matric,Merchandiser,Gauteng,0,0.062,5% +,1,0,0,0
5190,Cancelled,61,Female,English,Married,60000,60000,0,0,0,1,5,Matric,Bar Owner,North West,0,0.004,0 - 1.5%,1,1,0,1
5191,Cancelled,44,Male,Zulu,Single,3000,3000,0,0,0,15,31,No Matric,Security Guard,Gauteng,2196,0.056,5% +,1,0,0,0
5192,Cancelled,48,Female,Sepedi,Single,18000,18000,0,0,0,22,22,Degree,Teacher,Limpopo,0,0.02,1.5 - 2.5%,1,1,0,1
5193,Cancelled,46,Female,Zulu,Married,27000,5000,0,0,22000,31,1,No Matric,Cleaner,KwaZulu-Natal,0,0.008,0 - 1.5%,1,0,0,0
5194,Cancelled,38,Male,Sotho,Married,17000,17000,0,0,0,25,26,Matric,Consultant,Gauteng,0,0.008,0 - 1.5%,1,0,0,0
5195,Installed,45,Female,Zulu,Married,35000,14500,278,295,20500,27,30,Diploma,Librarian,Gauteng,0,0.008,0 - 1.5%,1,1,1,13
5196,Installed,26,Male,English,Single,25000,25000,288,305,0,25,26,Postgraduate,Chemical Engineering Technician,KwaZulu-Natal,3201,0.012,0 - 1.5%,1,1,1,13
5197,Cancelled,38,Female,Xhosa,0,14800,14800,0,0,0,31,1,Matric,Facilitator,Northern Cape,0,0.015,1.5 - 2.5%,1,1,0,3
5198,Cancelled,29,Male,Afrikaans,Single,5000,5000,0,0,0,25,30,Certificate,Electrical Fitter,Eastern Cape,0,0.027,2.5 - 5%,1,1,0,2
5199,Cancelled,48,Male,Setswana,Widowed,5500,5500,0,0,0,25,25,No Matric,"Truck Driver - Heavy Duty, Outside SA",Gauteng,0,0.038,2.5 - 5%,1,0,0,0
5200,Cancelled,34,Male,Afrikaans,Single,6000,6000,0,0,0,31,26,Certificate,Stock Controller,Mpumalanga,2351,0.059,5% +,1,1,0,6
5201,Installed,39,Male,Venda,Married,41000,30000,203,215,11000,27,27,Degree,Manager - Other,Gauteng,0,0.005,0 - 1.5%,1,1,1,12
5202,Installed,51,Male,Venda,Married,10800,10800,199,136,0,25,25,Diploma,"Supervisor
Maintenance Repairer",Gauteng,0,0.013,0 - 1.5%,1,1,1,9
5203,Installed,48,Female,Setswana,Married,29500,18000,280,297,11500,25,25,Matric,Administrator,Gauteng,0,0.01,0 - 1.5%,1,1,1,13
5204,Cancelled,65,Female,Xhosa,Married,11000,6793,0,0,4207,31,1,Diploma,Unemployed,Eastern Cape,0,0.021,1.5 - 2.5%,1,1,0,3
5205,Cancelled,56,Female,Zulu,Widowed,3000,3000,0,0,0,31,1,No Matric,Shop Owner,Gauteng,1475,0.048,2.5 - 5%,1,0,0,0
5206,Cancelled,51,Female,English,Married,6000,6000,0,0,0,31,1,Certificate,Guest House Manager,Gauteng,0,0.025,1.5 - 2.5%,1,0,0,0
5207,Cancelled,51,Male,Afrikaans,Divorced,17000,17000,0,0,0,1,1,Diploma,Teacher,Limpopo,0,0.036,2.5 - 5%,1,0,0,0
5208,Cancelled,41,Male,Xhosa,Married,12700,12700,0,0,0,25,25,Matric,Telecommunications Technician,Eastern Cape,0,0.035,2.5 - 5%,1,0,0,0
5209,Installed,33,Male,Venda,Married,54000,29000,200,212,25000,31,1,Postgraduate,Information Analyst,Gauteng,0,0.004,0 - 1.5%,1,1,1,13
5210,Cancelled,44,Female,Afrikaans,Single,25000,25000,0,0,0,1,1,Certificate,Sales Representative,Free State,0,0.004,0 - 1.5%,1,0,0,0
5211,Cancelled,52,Male,Zulu,Married,27000,18000,0,0,9000,1,1,No Matric,"Truck Driver - Heavy Duty, Outside SA",Mpumalanga,0,0.007,0 - 1.5%,1,0,0,0
5212,Installed,47,Male,Xhosa,Married,21600,14600,307,325,7000,15,15,Matric,Soldier,Western Cape,7785,0.014,0 - 1.5%,1,1,1,13
5213,Cancelled,40,Female,Xhosa,Married,49000,22000,0,0,27000,5,1,Diploma,Property Developer - Admin Only,Gauteng,0,0.004,0 - 1.5%,1,0,0,0
5214,Cancelled,49,Female,Sotho,Widowed,27000,27000,0,0,0,15,15,Diploma,Nurse,Gauteng,1764,0.013,0 - 1.5%,1,0,0,0
5215,Cancelled,40,Male,Sotho,Single,3500,3500,0,0,0,28,28,Diploma,Security Patrolman,Gauteng,0,0.058,5% +,1,0,0,0
5216,Cancelled,30,Male,Zulu,Single,23000,23000,0,0,0,26,27,Certificate,Control Officer,Mpumalanga,2429,0.013,0 - 1.5%,1,0,0,0
5217,Cancelled,47,Male,English,Married,25179,17179,0,0,8000,1,1,Matric,Supervisor - Other,KwaZulu-Natal,3201,0.011,0 - 1.5%,1,0,0,0
5218,Cancelled,37,Female,Zulu,Single,78000,28182,0,0,49818,25,28,Diploma,Procurement Officer,Gauteng,0,0.004,0 - 1.5%,1,1,0,6
5219,Installed,51,Female,Zulu,Widowed,22000,22000,170,180,0,25,1,Certificate,Manager - Other,KwaZulu-Natal,0,0.008,0 - 1.5%,1,1,1,13
5220,Cancelled,42,Female,Xhosa,Married,16500,4500,0,0,12000,31,15,Matric,Salon Hairdresser,Eastern Cape,0,0.014,0 - 1.5%,1,1,0,1
5221,Cancelled,32,Male,Zulu,Single,15000,15000,0,0,0,31,31,Certificate,Delivery Driver,KwaZulu-Natal,0,0.018,1.5 - 2.5%,1,0,0,0
5222,Installed,27,Male,Sotho,Single,14987,14987,187,198,0,31,26,Diploma,SAPS - Constable,Gauteng,0,0.013,0 - 1.5%,1,1,1,13
5223,Cancelled,47,Male,Sotho,Married,40000,20500,0,0,19500,31,1,Matric,SAPS - Detective,Free State,0,0.01,0 - 1.5%,1,0,0,0
5224,Installed,58,Female,Sotho,Married,72000,36000,359,381,36000,23,23,Matric,Safety Officer - Other,Mpumalanga,0,0.005,0 - 1.5%,1,1,1,13
5225,Installed,32,Male,Venda,Single,35000,35000,185,149,0,15,15,Degree,Compliance Officer,Gauteng,0,0.004,0 - 1.5%,1,1,1,9
5226,Installed,47,Female,Xhosa,Single,10400,10400,107,107,0,31,31,Matric,Business Manager,Eastern Cape,5000,0.01,0 - 1.5%,1,1,1,11
5227,Cancelled,40,Male,Zulu,Married,40000,40000,0,0,0,31,28,Diploma,Fireman,Mpumalanga,2270,0.005,0 - 1.5%,1,0,0,0
5228,Cancelled,39,Male,Afrikaans,Married,49998,39998,0,0,10000,1,25,Diploma,Warehouse Manager,Eastern Cape,6025,0.005,0 - 1.5%,1,1,0,1
5229,Cancelled,46,Male,Zulu,Married,30000,30000,0,0,0,15,15,Matric,Taxi Owner,Gauteng,0,0.01,0 - 1.5%,1,1,0,1
5230,Cancelled,38,Male,Afrikaans,Married,52000,44000,0,0,8000,31,1,Certificate,General Manager,Free State,0,0.005,0 - 1.5%,1,0,0,0
5231,Cancelled,29,Male,Zulu,Single,5300,5300,0,0,0,31,31,Matric,Steelworker,KwaZulu-Natal,2951,0.028,2.5 - 5%,1,0,0,0
5232,Installed,44,Male,Afrikaans,Married,75000,55000,973,1031,20000,31,5,Matric,Office Manager,Free State,0,0.013,0 - 1.5%,1,1,1,13
5233,Installed,44,Female,Setswana,Single,18000,18000,275,292,0,31,31,Degree,Administration Officer,Free State,0,0.015,1.5 - 2.5%,1,1,1,12
5234,Installed,59,Male,Zulu,Married,18000,18000,234,248,0,31,22,Matric,Water Inspector,Mpumalanga,1055,0.013,0 - 1.5%,1,1,1,12
5235,Installed,32,Female,Sotho,Single,18000,18000,234,248,0,15,15,Degree,Agriculturist,Gauteng,0,0.013,0 - 1.5%,1,1,1,14
5236,Cancelled,43,Female,Zulu,Married,35000,20000,0,0,15000,15,15,Matric,Nurse,KwaZulu-Natal,0,0.007,0 - 1.5%,1,1,0,1
5237,Installed,33,Female,Afrikaans,Single,9300,9300,250,165,0,31,25,No Matric,Hostel Matron,Northern Cape,0,0.018,1.5 - 2.5%,1,1,1,8
5238,Cancelled,49,Female,Xhosa,Married,160000,75000,0,0,85000,15,15,Postgraduate,Gynaecologist,Eastern Cape,0,0.008,0 - 1.5%,1,1,0,4
5239,Cancelled,52,Male,Zulu,Single,5500,5500,0,0,0,25,31,Matric,Hospital Porter,KwaZulu-Natal,0,0.054,5% +,1,1,0,9
5240,Cancelled,63,Male,Venda,Married,6000,6000,0,0,0,28,1,Matric,Unemployed,Limpopo,0,0.037,2.5 - 5%,1,1,0,1
5241,Cancelled,53,Male,0,Married,116000,116000,0,0,0,25,1,Degree,Chief Executive,Western Cape,0,0.007,0 - 1.5%,1,0,0,0
5242,Cancelled,53,Male,Setswana,Married,14000,6253,0,0,7747,31,1,No Matric,Retired,Gauteng,0,0.021,1.5 - 2.5%,1,0,0,0
5243,Cancelled,59,Male,Sotho,Divorced,13600,13600,0,0,0,31,1,Diploma,Retired,Gauteng,0,0.013,0 - 1.5%,1,1,0,7
5244,Cancelled,41,Male,English,Married,22000,10000,0,0,12000,31,1,No Matric,Printer,Gauteng,0,0.03,2.5 - 5%,1,0,0,0
5245,Cancelled,30,Female,Zulu,Single,5500,5500,0,0,0,25,31,Matric,Shop Cashier,Gauteng,1432,0.017,1.5 - 2.5%,1,0,0,0
5246,Cancelled,32,Male,Sotho,Single,10500,10500,0,0,0,26,27,Diploma,Community Worker,Gauteng,0,0.017,1.5 - 2.5%,1,0,0,0
5247,Cancelled,47,Male,Xhosa,Married,15000,10000,0,0,5000,7,20,Degree,Tour  Operator,Eastern Cape,0,0.02,1.5 - 2.5%,1,1,0,7
5248,Cancelled,61,Male,Zulu,Married,9594,9594,0,0,0,1,7,No Matric,Machine Operator,KwaZulu-Natal,4200,0.038,2.5 - 5%,1,0,0,0
5249,Installed,44,Male,English,Divorced,40000,40000,2311,2450,0,7,7,Matric,Director,Gauteng,0,0.058,5% +,1,1,1,14
5250,Cancelled,58,Female,Zulu,Married,63000,63000,0,0,0,25,25,Degree,Director,Free State,0,0.008,0 - 1.5%,1,1,0,6
5251,Cancelled,31,Male,Zulu,Single,4300,4300,0,0,0,31,1,No Matric,Fruit Shop Owner,Gauteng,0,0.034,2.5 - 5%,1,0,0,0
5252,Cancelled,47,Male,Zulu,Married,16000,7000,0,0,9000,31,31,No Matric,Builder,Mpumalanga,0,0.018,1.5 - 2.5%,1,1,0,10
5253,Installed,55,Male,English,Divorced,50000,35000,434,222,15000,25,25,Matric,Accountant,KwaZulu-Natal,0,0.004,0 - 1.5%,1,1,1,13
5254,Cancelled,42,Male,Sotho,Married,18707,18707,0,0,0,25,25,Diploma,Technician,Gauteng,0,0.015,0 - 1.5%,1,1,0,5
5255,Cancelled,30,Female,English,Married,60000,25000,0,0,35000,25,7,Degree,Project Co- Ordinator,Gauteng,0,0.002,0 - 1.5%,1,0,0,0
5256,Cancelled,42,Male,Afrikaans,Married,5600,5600,0,0,0,1,31,No Matric,Sales Representative,Gauteng,0,0.051,5% +,1,1,0,1
5257,Cancelled,50,Male,Sotho,Married,13308,13308,0,0,0,15,15,Matric,Admin Clerk,Gauteng,0,0.023,1.5 - 2.5%,1,0,0,0
5258,Installed,52,Male,Sotho,Married,40000,40000,570,604,0,31,1,Diploma,Pastor,Gauteng,0,0.014,0 - 1.5%,1,1,1,12
5259,Cancelled,47,Male,Zulu,Married,8500,8500,0,0,0,30,30,Diploma,Engineering Machine Operator,KwaZulu-Natal,0,0.024,1.5 - 2.5%,1,0,0,0
5260,Installed,38,Male,Sotho,Married,50500,48000,265,281,2500,30,1,Postgraduate,Accountant,Gauteng,0,0.005,0 - 1.5%,1,1,1,13
5261,Cancelled,42,Male,Afrikaans,Married,100000,80000,0,0,20000,15,15,Degree,Supervisor - Explosives,Free State,0,0.049,2.5 - 5%,1,0,0,0
5262,Cancelled,45,Male,Xhosa,Single,19500,19500,0,0,0,31,15,Degree,Correctional Officer,Western Cape,0,0.009,0 - 1.5%,1,0,0,0
5263,Installed,42,Male,English,Married,13500,10940,330,350,2560,31,15,Matric,Admin Clerk,Western Cape,0,0.024,1.5 - 2.5%,1,1,1,13
5264,Installed,33,Male,Xhosa,Single,100000,75800,325,279,24200,29,31,Degree,Business Analyst,Gauteng,0,0.003,0 - 1.5%,1,1,1,8
5265,Installed,40,Male,Xhosa,Married,29900,29900,274,290,0,26,27,Diploma,Control Officer,Eastern Cape,5201,0.009,0 - 1.5%,1,1,1,10
5266,Installed,52,Male,Sotho,Married,63000,32000,973,1031,31000,31,1,Postgraduate,Principal,Free State,9459,0.015,1.5 - 2.5%,1,1,1,12
5267,Installed,44,Female,Xhosa,Married,18000,18000,124,124,0,20,15,Diploma,School Teacher,Western Cape,7784,0.007,0 - 1.5%,1,1,1,12
5268,Installed,47,Female,Setswana,Married,33369,14369,158,158,19000,26,26,Degree,Administration Clerk,Gauteng,0,0.005,0 - 1.5%,1,1,1,8
5269,Installed,55,Male,English,Married,100000,78000,1702,1805,22000,31,1,Matric,Cabinet Maker,KwaZulu-Natal,0,0.017,1.5 - 2.5%,1,1,1,13
5270,Installed,34,Female,English,Married,58000,26000,186,197,32000,28,31,Matric,Co Ordinator,KwaZulu-Natal,0,0.003,0 - 1.5%,1,1,1,12
5271,Cancelled,61,Male,Xhosa,Single,18500,18500,0,0,0,20,31,Degree,Teacher,Northern Cape,0,0.012,0 - 1.5%,1,1,0,2
5272,Installed,27,Female,Zulu,Single,8300,8300,206,218,0,31,27,Matric,Import Entry Clerk,KwaZulu-Natal,0,0.025,1.5 - 2.5%,1,1,1,12
5273,Cancelled,43,Female,Sepedi,Married,30000,12500,0,0,17500,27,1,Degree,Nurse,Limpopo,699,0.004,0 - 1.5%,1,1,0,4
5274,Cancelled,40,Female,Afrikaans,Single,7000,7000,0,0,0,30,1,Diploma,Pharmacist Assistant,Northern Cape,0,0.048,2.5 - 5%,1,0,0,0
5275,Cancelled,35,Male,Sotho,Married,14110,14110,0,0,0,27,27,Diploma,Accounts Assistant,Gauteng,0,0.022,1.5 - 2.5%,1,0,0,0
5276,Cancelled,30,Male,English,Single,12500,12500,0,0,0,20,20,No Matric,Driver - Security Van,Gauteng,0,0.012,0 - 1.5%,1,1,0,1
5277,Installed,39,Female,English,Married,58000,30000,195,207,28000,25,27,Diploma,Administrative Clerk,Gauteng,0,0.003,0 - 1.5%,1,1,1,13
5278,Cancelled,41,Male,Xhosa,Married,14000,14000,0,0,0,31,20,Diploma,Teacher,Eastern Cape,0,0.025,2.5 - 5%,1,0,0,0
5279,Installed,41,Female,Setswana,Widowed,7000,7000,290,308,0,1,31,Matric,Administration Clerk,North West,0,0.041,2.5 - 5%,1,1,1,13
5280,Installed,47,Female,English,Married,100000,70000,230,244,30000,20,20,Matric,Head of I.T.,Gauteng,0,0.002,0 - 1.5%,1,1,1,14
5281,Cancelled,29,Male,Zulu,Single,18500,18500,0,0,0,27,27,Matric,Technical Assistant,KwaZulu-Natal,0,0.014,0 - 1.5%,1,1,0,1
5282,Cancelled,32,Female,English,Married,25000,5000,0,0,20000,1,1,Matric,Gym Instructor,KwaZulu-Natal,0,0.006,0 - 1.5%,1,1,0,2
5283,Cancelled,32,Male,Afrikaans,Married,40000,34000,0,0,6000,31,1,Matric,Data Analyst,Gauteng,0,0.01,0 - 1.5%,1,0,0,0
5284,Cancelled,31,Male,Setswana,0,57000,45000,0,0,12000,7,1,Matric,Construction Contractor,Gauteng,0,0.002,0 - 1.5%,1,0,0,0
5285,Cancelled,35,Male,Sotho,Single,4500,4500,0,0,0,31,1,Certificate,Installation Worker,Gauteng,122,0.079,5% +,1,0,0,0
5286,Installed,48,Female,Tsonga,Married,70000,22000,188,199,48000,15,15,Degree,Divisional Environmental Health Officer,Limpopo,0,0.003,0 - 1.5%,1,1,1,13
5287,Cancelled,32,Female,Setswana,Married,9000,7800,0,0,1200,1,1,Diploma,Cleaner - Domestic/Office,North West,0,0.039,2.5 - 5%,1,0,0,0
5288,Cancelled,45,Male,Afrikaans,Married,12000,4000,0,0,8000,25,29,Diploma,Missionary,Free State,9431,0.041,2.5 - 5%,1,0,0,0
5289,Cancelled,28,Male,English,Married,65000,35400,0,0,29600,25,7,No Matric,Sales Executive,Gauteng,0,0.008,0 - 1.5%,1,0,0,0
5290,Installed,41,Male,Sotho,Married,22000,18572,168,209,3428,25,25,Diploma,IT Technician,Western Cape,0,0.007,0 - 1.5%,1,1,1,13
5291,Installed,28,Male,Zulu,Single,44000,44000,525,462,0,1,1,Certificate,Metal Working Fitter,Limpopo,1984,0.011,0 - 1.5%,1,1,1,9
5292,Installed,57,Male,English,Married,9000,9000,459,486,0,31,31,Matric,Logistics Controller,Gauteng,1501,0.051,5% +,1,1,1,13
5293,Cancelled,33,Male,Afrikaans,Married,16500,16500,0,0,0,31,31,No Matric,Retail Manager,Free State,0,0.028,2.5 - 5%,1,1,0,6
5294,Installed,43,Female,Setswana,Single,15700,15700,114,121,0,31,1,Certificate,Diamond Worker,Northern Cape,8345,0.02,1.5 - 2.5%,1,1,1,12
5295,Installed,46,Female,English,Married,30000,15000,1309,1387,15000,1,1,No Matric,Events Organising Assistant/Manager,KwaZulu-Natal,0,0.044,2.5 - 5%,1,1,1,13
5296,Cancelled,55,Female,Setswana,Married,42000,26000,0,0,16000,15,15,Degree,Nurse,Gauteng,0,0.01,0 - 1.5%,1,0,0,0
5297,Cancelled,33,Male,Xhosa,Married,3600,1500,0,0,2100,5,6,No Matric,Farm Worker,Eastern Cape,0,0.041,2.5 - 5%,1,0,0,0
5298,Cancelled,31,Male,Zulu,Married,18000,18000,0,0,0,1,1,Certificate,Motor Mechanic,Gauteng,0,0.023,1.5 - 2.5%,1,1,0,1
5299,Installed,50,Female,Xhosa,Married,14000,14000,183,194,0,31,31,Degree,Adult education Teacher,Eastern Cape,6001,0.013,0 - 1.5%,1,1,1,13
5300,Installed,40,Female,English,Married,12000,6000,279,296,6000,7,1,No Matric,Company Director,KwaZulu-Natal,0,0.023,1.5 - 2.5%,1,1,1,13
5301,Cancelled,40,Female,Afrikaans,Widowed,12100,12100,0,0,0,31,21,No Matric,Retired,Eastern Cape,0,0.012,0 - 1.5%,1,1,0,5
5302,Cancelled,46,Female,English,Married,36000,36000,0,0,0,25,1,Matric,Computer Tester,Western Cape,0,0.018,1.5 - 2.5%,1,0,0,0
5303,Cancelled,56,Female,English,Widowed,24000,24000,0,0,0,1,1,Diploma,Business Manager,KwaZulu-Natal,0,0.029,2.5 - 5%,1,0,0,0
5304,Cancelled,47,Female,English,Married,140000,44000,0,0,96000,25,27,Matric,Finance Clerk,Mpumalanga,0,0.001,0 - 1.5%,1,1,0,2
5305,Installed,65,Male,English,Married,50000,50000,1159,1229,0,31,1,Certificate,Company Director,Western Cape,0,0.023,1.5 - 2.5%,1,1,1,14
5306,Cancelled,58,Female,Xhosa,Single,13865,13865,0,0,0,31,31,No Matric,General Hand,Gauteng,0,0.021,1.5 - 2.5%,1,0,0,0
5307,Installed,44,Female,English,Divorced,16000,16000,205,217,0,25,1,Diploma,Retail Manager,Western Cape,7581,0.013,0 - 1.5%,1,1,1,12
5308,Installed,35,Male,Xhosa,Married,9000,9000,133,141,0,31,26,Matric,Electrical Wireman,Eastern Cape,5247,0.015,0 - 1.5%,1,1,1,13
5309,Installed,57,Male,English,Married,25000,22000,1058,1121,3000,7,21,Matric,Shopowner,KwaZulu-Natal,0,0.042,2.5 - 5%,1,1,1,12
5310,Cancelled,60,Male,Zulu,Married,20000,20000,0,0,0,31,1,No Matric,Site Agent,Gauteng,0,0.026,2.5 - 5%,1,1,0,1
5311,Cancelled,32,Female,Xhosa,Single,21000,21000,0,0,0,15,1,Degree,Medical Assistant,Gauteng,0,0.007,0 - 1.5%,1,0,0,0
5312,Cancelled,38,Male,Tsonga,Married,36000,24000,0,0,12000,31,1,Diploma,Training Officer,Gauteng,0,0.013,0 - 1.5%,1,0,0,0
5313,Cancelled,35,Male,English,Married,25000,25000,0,0,0,15,1,Matric,Contractor,KwaZulu-Natal,0,0.017,1.5 - 2.5%,1,0,0,0
5314,Installed,35,Female,Sepedi,Single,8000,4000,145,99,4000,28,29,Certificate,Beauty Therapist,Limpopo,0,0.012,0 - 1.5%,1,1,1,10
5315,Cancelled,35,Male,Sotho,Married,14000,9000,0,0,5000,27,1,Certificate,Electrician Industrial/High Voltage,Gauteng,1632,0.029,2.5 - 5%,1,1,0,3
5316,Installed,62,Male,Afrikaans,Married,4800,4800,684,725,0,31,1,No Matric,Managing Director,Gauteng,0,0.143,5% +,1,1,1,13
5317,Cancelled,31,Male,Setswana,Married,25000,25000,0,0,0,25,1,Diploma,Electrical Engineer,Free State,9323,0.028,2.5 - 5%,1,0,0,0
5318,Installed,42,Male,Afrikaans,Married,28000,18500,1165,468,9500,28,28,Matric,Big Game Hunter,Limpopo,0,0.017,1.5 - 2.5%,1,1,1,8
5319,Cancelled,38,Female,Xhosa,Divorced,6000,6000,0,0,0,28,28,Matric,Waitress,Western Cape,0,0.02,1.5 - 2.5%,1,1,0,3
5320,Installed,56,Male,English,Married,60000,29000,1892,2006,31000,25,1,Degree,Company Financial Manager,Western Cape,0,0.032,2.5 - 5%,1,1,1,12
5321,Cancelled,51,Male,Sotho,Single,9888,9888,0,0,0,28,28,No Matric,Mechanical Assembler,Free State,0,0.015,0 - 1.5%,1,0,0,0
5322,Cancelled,38,Female,Afrikaans,Married,26000,9000,0,0,17000,15,15,Diploma,Nursery Assistant - Hospital Based,Western Cape,6820,0.006,0 - 1.5%,1,1,0,1
5323,Cancelled,38,Male,Setswana,Married,24000,15000,0,0,9000,4,5,Matric,Miner,Free State,9480,0.028,2.5 - 5%,1,1,0,3
5324,Installed,58,Female,Xhosa,Married,36000,36000,179,190,0,15,15,Degree,Area Manager,Eastern Cape,0,0.005,0 - 1.5%,1,1,1,13
5325,Cancelled,37,Male,Setswana,Married,11600,11600,0,0,0,25,25,Matric,Handyman,North West,0,0.012,0 - 1.5%,1,0,0,0
5326,Installed,54,Male,English,Married,104168,83334,807,807,20834,28,1,Postgraduate,Quantity Surveyor,Gauteng,0,0.008,0 - 1.5%,1,1,1,11
5327,Installed,24,Female,Tsonga,Single,41530,41530,302,320,0,1,1,Degree,Medical Doctor,Limpopo,0,0.007,0 - 1.5%,1,1,1,13
5328,Cancelled,40,Female,Sotho,Single,31792,31792,0,0,0,15,15,Diploma,Personal Assistant,Mpumalanga,0,0.009,0 - 1.5%,1,0,0,0
5329,Cancelled,41,Male,Sepedi,Single,16425,12925,0,0,3500,25,26,Diploma,Health and Safety Officer - Construction,Gauteng,152,0.006,0 - 1.5%,1,0,0,0
5330,Cancelled,48,Male,Zulu,Married,5000,5000,0,0,0,31,25,Matric,Unemployed,KwaZulu-Natal,0,0.094,5% +,1,0,0,0
5331,Cancelled,31,Male,Venda,Married,60000,42000,0,0,18000,25,25,Diploma,Maintenance Worker,Mpumalanga,1050,0.003,0 - 1.5%,1,0,0,0
5332,Cancelled,33,Female,Setswana,Single,10420,10420,0,0,0,25,1,Certificate,Office Administrator,Gauteng,0,0.028,2.5 - 5%,1,0,0,0
5333,Cancelled,29,Male,Xhosa,Married,5000,5000,0,0,0,15,15,Certificate,Funeral Director/Undertaker,Western Cape,0,0.037,2.5 - 5%,1,1,0,5
5334,Cancelled,55,Male,Afrikaans,Married,45000,40000,0,0,5000,7,7,Matric,Electrical Contractor,Limpopo,0,0.032,2.5 - 5%,1,1,0,1
5335,Installed,41,Male,Venda,Married,86604,86604,1355,1437,0,26,27,Postgraduate,Electrical Engineer - Admin Only,Free State,7550,0.016,1.5 - 2.5%,1,1,1,13
5336,Installed,33,Female,Afrikaans,Single,40000,40000,174,184,0,15,15,Postgraduate,Medical Doctor,Free State,0,0.004,0 - 1.5%,1,1,1,14
5337,Cancelled,47,Female,Xhosa,Widowed,4000,4000,0,0,0,7,1,Degree,Door to Door Salesman,KwaZulu-Natal,0,0.038,2.5 - 5%,1,0,0,0
5338,Cancelled,46,Male,Sepedi,Married,16000,6355,0,0,9645,28,28,Matric,Mine Boilermaker,Limpopo,0,0.037,2.5 - 5%,1,0,0,0
5339,Cancelled,57,Female,Sepedi,Single,22000,22000,0,0,0,1,30,Degree,Teacher,Gauteng,0,0.01,0 - 1.5%,1,0,0,0
5340,Cancelled,55,Male,Xhosa,Married,42000,30000,0,0,12000,30,30,Matric,Superintendent - Police,Eastern Cape,5099,0.005,0 - 1.5%,1,0,0,0
5341,Installed,44,Female,English,Married,33500,15500,238,252,18000,20,21,Degree,Teacher,Eastern Cape,0,0.007,0 - 1.5%,1,1,1,12
5342,Installed,40,Male,Zulu,Married,25000,22000,125,133,3000,27,27,Matric,Trackman - Railways,KwaZulu-Natal,0,0.005,0 - 1.5%,1,1,1,13
5343,Cancelled,48,Male,Xhosa,Married,20000,10000,0,0,10000,15,15,Matric,Health Care Advisor,Gauteng,1868,0.005,0 - 1.5%,1,0,0,0
5344,Installed,31,Male,Sotho,Single,73334,73334,273,289,0,25,25,Degree,IT Programmer,Gauteng,0,0.004,0 - 1.5%,1,1,1,12
5345,Cancelled,41,Female,Setswana,Divorced,27372,20172,0,0,7200,31,1,Degree,Nurse,Gauteng,1863,0.006,0 - 1.5%,1,0,0,0
5346,Installed,55,Female,Afrikaans,Married,30000,4000,210,223,26000,31,30,Matric,Administration Worker,Gauteng,0,0.007,0 - 1.5%,1,1,1,13
5347,Cancelled,27,Female,English,Single,7100,5500,0,0,1600,27,26,No Matric,Pharmacy Assistant,KwaZulu-Natal,0,0.065,5% +,1,0,0,0
5348,Cancelled,60,Male,Afrikaans,Married,53000,45000,0,0,8000,25,1,No Matric,Mine Rigger,Northern Cape,8301,0.012,0 - 1.5%,1,0,0,0
5349,Cancelled,51,Male,English,Single,60000,60000,0,0,0,28,30,Matric,Regional Manager,Gauteng,157,0.026,2.5 - 5%,1,1,0,6
